date 	index
8/1/13	159.47
9/1/13	159.76
10/1/13	159.65
11/1/13	159.46
12/1/13	159.38
1/1/14	159.47
2/1/14	159.97
3/1/14	161.29
4/1/14	163.08
5/1/14	164.79
6/1/14	166.32
7/1/14	167.24
8/1/14	167.55
9/1/14	167.35
10/1/14	167.02
11/1/14	166.78
12/1/14	166.59
1/1/15	166.38
2/1/15	166.78
3/1/15	168.25
4/1/15	170.15
5/1/15	172.04
6/1/15	173.64
7/1/15	174.69
8/1/15	175.15
9/1/15	175.29
10/1/15	175.35
11/1/15	175.50
12/1/15	175.49
1/1/16	175.42
